TEAM_NAME,EXPERT_RANK
Cavaliers,1
Warriors,2
Spurs,3
Clippers,4
Celtics,5
Raptors,6
Thunder,7
Pacers,8
Trail Blazers,9
Jazz,10
Grizzlies,11
Timberwolves,12
Hawks,13
Rockets,14
Pistons,15
Mavericks,16
Hornets,17
Bulls,18
Wizards,19
Heat,20
Knicks,21
Magic,22
Bucks,23
Nuggets,24
Kings,25
Pelicans,26
Suns,27
Lakers,28
76ers,29
Nets,30
