TEAM_NAME,EXPERT_RANK
Warriors,1
Thunder,2
Spurs,3
Cavaliers,4
Rockets,5
Clippers,6
Grizzlies,7
Hawks,8
Heat,9
Bulls,10
Pelicans,11
Raptors,12
Wizards,13
Jazz,14
Celtics,15
Bucks,16
Suns,17
Mavericks,18
Kings,19
Pacers,20
Pistons,21
Hornets,22
Magic,23
Knicks,24
Trail Blazers,25
Nuggets,26
Lakers,27
Timberwolves,28
Nets,29
76ers,30
