TEAM_NAME,EXPERT_RANK
Warriors,1
Cavaliers,2
Rockets,3
Thunder,4
Spurs,5
Celtics,6
Wizards,7
Nuggets,8
Timberwolves,9
Raptors,10
Clippers,11
Jazz,12
Bucks,13
Trail Blazers,14
Pelicans,15
Grizzlies,16
Hornets,17
Heat,18
Mavericks,19
76ers,20
Pistons,21
Lakers,22
Kings,23
Magic,24
Suns,25
Pacers,26
Knicks,27
Nets,28
Hawks,29
Bulls,30
