TEAM_NAME,EXPERT_RANK
Spurs,1
Clippers,2
Bulls,3
Cavaliers,4
Warriors,5
Raptors,6
Rockets,7
Grizzlies,8
Mavericks,9
Trail Blazers,10
Thunder,11
Wizards,12
Hornets,13
Suns,14
Heat,15
Hawks,16
Knicks,17
Nets,18
Nuggets,19
Pelicans,20
Pistons,21
Pacers,22
Jazz,23
Timberwolves,24
Kings,25
Celtics,26
Lakers,27
Bucks,28
Magic,29
76ers,30
