TEAM_NAME,EXPERT_RANK
Hawks,29
Celtics,6
Nets,24.5
Hornets,16
Bulls,30
Cavaliers,2
Mavericks,21
Nuggets,10
Pistons,20
Warriors,1
Rockets,3
Pacers,24
Clippers,13
Lakers,24
Grizzlies,18
Heat,15.5
Bucks,11
Timberwolves,10
Pelicans,15.5
Knicks,28
Thunder,4
Magic,25
76ers,19
Suns,26
Trail Blazers,13.5
Kings,26
Spurs,5
Raptors,8
Jazz,15
Wizards,8
