TEAM_NAME,EXPERT_RANK
Hawks,30
Celtics,14
Nets,24
Hornets,18
Bulls,27
Cavaliers,28
Mavericks,17
Nuggets,6
Pistons,12
Warriors,4
Rockets,14
Pacers,10
Clippers,5
Lakers,11
Grizzlies,7
Heat,25
Bucks,2
Timberwolves,20
Pelicans,13
Knicks,26
Thunder,7
Magic,19
76ers,8
Suns,28
Trail Blazers,9
Kings,19
Spurs,20
Raptors,1
Jazz,21
Wizards,24
