,GAME_ID_HOME_A0,TEAM_NAME_HOME_A0,FGM_HOME_A0,FGA_HOME_A0,FG_PCT_HOME_A0,FG3M_HOME_A0,FG3A_HOME_A0,FG3_PCT_HOME_A0,FTM_HOME_A0,FTA_HOME_A0,FT_PCT_HOME_A0,OREB_HOME_A0,DREB_HOME_A0,REB_HOME_A0,AST_HOME_A0,STL_HOME_A0,BLK_HOME_A0,TO_HOME_A0,PF_HOME_A0,PTS_HOME_A0,PLUS_MINUS_HOME_A0,GAME_DATE_EST_HOME_A0,WIN_HOME_A0,GAME_ID_AWAY_A0,TEAM_NAME_AWAY_A0,FGM_AWAY_A0,FGA_AWAY_A0,FG_PCT_AWAY_A0,FG3M_AWAY_A0,FG3A_AWAY_A0,FG3_PCT_AWAY_A0,FTM_AWAY_A0,FTA_AWAY_A0,FT_PCT_AWAY_A0,OREB_AWAY_A0,DREB_AWAY_A0,REB_AWAY_A0,AST_AWAY_A0,STL_AWAY_A0,BLK_AWAY_A0,TO_AWAY_A0,PF_AWAY_A0,PTS_AWAY_A0,PLUS_MINUS_AWAY_A0,GAME_DATE_EST_AWAY_A0,WIN_AWAY_A0,MIN_A0,CURRENT_GAME_ID,GAME_ID_HOME_B0,TEAM_NAME_HOME_B0,FGM_HOME_B0,FGA_HOME_B0,FG_PCT_HOME_B0,FG3M_HOME_B0,FG3A_HOME_B0,FG3_PCT_HOME_B0,FTM_HOME_B0,FTA_HOME_B0,FT_PCT_HOME_B0,OREB_HOME_B0,DREB_HOME_B0,REB_HOME_B0,AST_HOME_B0,STL_HOME_B0,BLK_HOME_B0,TO_HOME_B0,PF_HOME_B0,PTS_HOME_B0,PLUS_MINUS_HOME_B0,GAME_DATE_EST_HOME_B0,WIN_HOME_B0,GAME_ID_AWAY_B0,TEAM_NAME_AWAY_B0,FGM_AWAY_B0,FGA_AWAY_B0,FG_PCT_AWAY_B0,FG3M_AWAY_B0,FG3A_AWAY_B0,FG3_PCT_AWAY_B0,FTM_AWAY_B0,FTA_AWAY_B0,FT_PCT_AWAY_B0,OREB_AWAY_B0,DREB_AWAY_B0,REB_AWAY_B0,AST_AWAY_B0,STL_AWAY_B0,BLK_AWAY_B0,TO_AWAY_B0,PF_AWAY_B0,PTS_AWAY_B0,PLUS_MINUS_AWAY_B0,GAME_DATE_EST_AWAY_B0,WIN_AWAY_B0,MIN_B0
0,21601172,Mavericks,38,86,0.442,11,31,0.355,14,18,0.778,11,33,44,24,5,3,16,26,101,-11.0,2017-04-05 00:00:00,0,21601172,Clippers,38,75,0.507,12,31,0.387,24,31,0.774,5,35,40,22,11,0,15,19,112,11.0,2017-04-05 00:00:00,1,240.0,21601199,21601124,Clippers,44,80,0.55,12,22,0.545,24,34,0.706,7,32,39,20,4,4,14,21,124,6.0,2017-03-30 00:00:00,1,21601124,Suns,49,92,0.5329999999999999,7,23,0.304,13,24,0.542,13,30,43,24,6,2,14,27,118,-6.0,2017-03-30 00:00:00,0,240.0
0,21601136,Warriors,43,95,0.45299999999999996,11,32,0.344,10,14,0.7140000000000001,13,30,43,27,10,14,10,20,107,9.0,2017-03-31 00:00:00,1,21601136,Rockets,34,91,0.374,12,37,0.324,18,23,0.7829999999999999,18,30,48,20,6,3,13,12,98,-9.0,2017-03-31 00:00:00,0,240.0,21601200,21601081,Warriors,44,89,0.494,10,31,0.32299999999999995,16,18,0.889,13,31,44,37,14,8,12,15,114,14.0,2017-03-24 00:00:00,1,21601081,Kings,40,83,0.48200000000000004,10,21,0.47600000000000003,10,13,0.769,6,31,37,27,7,4,19,16,100,-14.0,2017-03-24 00:00:00,0,240.0
0,21601172,Mavericks,38,86,0.442,11,31,0.355,14,18,0.778,11,33,44,24,5,3,16,26,101,-11.0,2017-04-05 00:00:00,0,21601172,Clippers,38,75,0.507,12,31,0.387,24,31,0.774,5,35,40,22,11,0,15,19,112,11.0,2017-04-05 00:00:00,1,240.0,21601193,21601183,Mavericks,38,88,0.43200000000000005,8,26,0.308,5,8,0.625,6,38,44,26,1,8,9,17,89,-13.0,2017-04-07 00:00:00,0,21601183,Spurs,40,96,0.41700000000000004,9,28,0.321,13,22,0.591,16,42,58,26,6,5,6,11,102,13.0,2017-04-07 00:00:00,1,240.0
0,21601165,Hornets,35,78,0.449,8,25,0.32,21,24,0.875,4,32,36,19,2,7,6,15,99,-13.0,2017-04-05 00:00:00,0,21601165,Heat,40,84,0.47600000000000003,21,40,0.525,11,12,0.917,7,33,40,23,5,7,6,16,112,13.0,2017-04-05 00:00:00,1,240.0,21601192,21601155,Hornets,40,79,0.506,12,34,0.353,19,22,0.8640000000000001,9,28,37,21,5,3,16,17,111,-7.0,2017-04-04 00:00:00,0,21601155,Wizards,43,85,0.506,17,34,0.5,15,18,0.833,6,30,36,31,10,3,12,18,118,7.0,2017-04-04 00:00:00,1,240.0
0,21601136,Warriors,43,95,0.45299999999999996,11,32,0.344,10,14,0.7140000000000001,13,30,43,27,10,14,10,20,107,9.0,2017-03-31 00:00:00,1,21601136,Rockets,34,91,0.374,12,37,0.324,18,23,0.7829999999999999,18,30,48,20,6,3,13,12,98,-9.0,2017-03-31 00:00:00,0,240.0,21601195,21601079,Rockets,44,93,0.473,14,39,0.359,15,20,0.75,15,44,59,29,5,3,18,19,117,10.0,2017-03-24 00:00:00,1,21601079,Pelicans,41,91,0.451,14,38,0.368,11,14,0.7859999999999999,6,30,36,28,9,7,10,15,107,-10.0,2017-03-24 00:00:00,0,240.0
0,21601178,Timberwolves,38,87,0.43700000000000006,4,18,0.222,18,20,0.9,9,38,47,16,7,4,13,20,98,-7.0,2017-04-06 00:00:00,0,21601178,Trail Blazers,35,81,0.43200000000000005,14,33,0.424,21,26,0.8079999999999999,4,37,41,19,8,4,12,20,105,7.0,2017-04-06 00:00:00,1,240.0,21601194,21601185,Timberwolves,39,79,0.494,7,16,0.43799999999999994,28,28,1.0,9,25,34,22,11,1,12,25,113,-7.0,2017-04-07 00:00:00,0,21601185,Jazz,45,75,0.6,14,25,0.56,16,22,0.727,6,27,33,29,8,7,14,21,120,7.0,2017-04-07 00:00:00,1,240.0
0,21601093,Celtics,41,77,0.532,8,24,0.33299999999999996,22,25,0.88,8,27,35,32,8,3,16,19,112,4.0,2017-03-26 00:00:00,1,21601093,Heat,41,91,0.451,7,29,0.24100000000000002,19,24,0.792,16,24,40,19,9,5,15,22,108,-4.0,2017-03-26 00:00:00,0,240.0,21601189,21601165,Hornets,35,78,0.449,8,25,0.32,21,24,0.875,4,32,36,19,2,7,6,15,99,-13.0,2017-04-05 00:00:00,0,21601165,Heat,40,84,0.47600000000000003,21,40,0.525,11,12,0.917,7,33,40,23,5,7,6,16,112,13.0,2017-04-05 00:00:00,1,240.0
0,21601150,Cavaliers,47,95,0.495,18,43,0.419,23,33,0.6970000000000001,15,41,56,29,7,4,13,19,135,5.0,2017-04-02 00:00:00,1,21601150,Pacers,48,105,0.457,16,41,0.39,18,20,0.9,12,34,46,32,6,3,9,24,130,-5.0,2017-04-02 00:00:00,0,290.0,21601190,21601156,Cavaliers,44,82,0.537,18,36,0.5,16,21,0.762,5,37,42,30,9,3,12,18,122,20.0,2017-04-04 00:00:00,1,21601156,Magic,33,86,0.384,11,33,0.33299999999999996,25,26,0.9620000000000001,11,32,43,23,8,3,14,21,102,-20.0,2017-04-04 00:00:00,0,240.0
0,21601175,Pacers,38,80,0.475,8,25,0.32,20,26,0.769,12,32,44,20,15,3,16,12,104,15.0,2017-04-06 00:00:00,1,21601175,Bucks,33,71,0.465,11,24,0.45799999999999996,12,14,0.857,6,26,32,21,8,4,21,22,89,-15.0,2017-04-06 00:00:00,0,240.0,21601191,21601092,Pacers,38,89,0.42700000000000005,7,17,0.41200000000000003,24,29,0.828,12,39,51,16,9,4,9,13,107,13.0,2017-03-26 00:00:00,1,21601092,76ers,35,88,0.39799999999999996,14,41,0.341,10,14,0.7140000000000001,8,40,48,19,7,5,14,23,94,-13.0,2017-03-26 00:00:00,0,240.0
0,21601154,Nets,48,75,0.64,16,31,0.516,29,33,0.879,1,35,36,36,9,5,17,18,141,23.0,2017-04-04 00:00:00,1,21601154,76ers,43,97,0.44299999999999995,12,38,0.316,20,27,0.741,14,22,36,32,7,4,11,22,118,-23.0,2017-04-04 00:00:00,0,240.0,21601188,21601173,Bulls,39,91,0.429,8,25,0.32,16,17,0.941,10,47,57,27,7,6,16,19,102,12.0,2017-04-06 00:00:00,1,21601173,76ers,33,91,0.363,7,33,0.212,17,22,0.773,10,40,50,19,10,3,13,19,90,-12.0,2017-04-06 00:00:00,0,240.0
