,CURRENT_GAME_ID,GAME_DATE_EST,TEAM_NAME_AWAY,TEAM_NAME_HOME,WIN_HOME,NET_RTG_HOME,NET_RTG_AWAY,WIN_PERCENTAGE_A,WIN_PERCENTAGE_B,DAYS_SINCE_LAST_GAME_A,DAYS_SINCE_LAST_GAME_B,GAME_ID_HOME,EXPERT_RANK_HOME,EXPERT_RANK_AWAY
0,21701213,2018-04-10,Hornets,Pacers,0,-0.0718098144681514,-0.13075964040736254,0.16889443854807076,-0.03538423818744274,-0.00978786171339326,0.0006766226861920632,21701213,0.35743065967016496,0.05641970681326006
1,21701214,2018-04-10,76ers,Hawks,0,0.026550777245421684,0.1380020514869207,-0.23110556145192926,0.4312824284792238,-0.00978786171339326,-0.00942438741481804,21701214,0.4608789355322339,0.15986798267532903
2,21701216,2018-04-10,Suns,Mavericks,0,0.043763715130646835,-0.015764287671751784,-0.2977722281185959,-0.4353842381874428,-0.00978786171339326,-0.00942438741481804,21701216,0.11605134932533735,0.3322817757787773
3,21701217,2018-04-10,Warriors,Jazz,1,0.3071726388888433,0.2703769597511275,0.3022277718814041,-0.03538423818744274,-0.00978786171339326,-0.00942438741481804,21701217,-0.12532796101949023,-0.49530443111777445
4,21701218,2018-04-10,Rockets,Lakers,0,0.0416208945187719,-0.16473098892901394,-0.16443889478526258,0.3646157618125573,-0.00978786171339326,-0.004373882364312989,21701218,0.21949962518740632,-0.4263389138763951
5,21701215,2018-04-10,Celtics,Wizards,1,-0.08250250768211069,-0.016749330013556094,-0.16443889478526258,0.09794909514589056,0.000262389542888145,-0.00942438741481804,21701215,-0.2977417541229385,-0.32289063801432616
6,21701207,2018-04-09,Cavaliers,Knicks,0,-0.184612668908361,-0.041539700723670685,-0.23110556145192926,0.2312824284792239,-0.00978786171339326,-0.004373882364312989,21701207,0.3919134182908546,-0.4608216724970848
7,21701204,2018-04-09,Raptors,Pistons,0,0.10951401745717812,0.067382398796319,0.10222777188140407,0.16461576181255722,-0.014812987341533966,-0.014474892465323087,21701204,0.18501686656671665,-0.18495960353156754
8,21701205,2018-04-09,Bulls,Nets,1,0.01008459609324545,-0.1881613302328068,-0.03110556145192922,-0.1687175715207761,-0.00978786171339326,-0.004373882364312989,21701205,0.42639617691154424,0.5046955688822256
9,21701206,2018-04-09,Thunder,Heat,0,0.0691372310461355,0.026313603745791808,0.10222777188140407,0.09794909514589056,-0.004762736085252559,-0.00942438741481804,21701206,0.0815685907046477,-0.39185615525570544
10,21701211,2018-04-09,Trail Blazers,Nuggets,1,0.19310392393871592,0.09964376006501297,0.16889443854807076,0.09794909514589056,-0.00978786171339326,-0.00942438741481804,21701211,-0.26325899550224885,-0.04702856904880891
11,21701208,2018-04-09,Magic,Bucks,1,0.06389992320268788,0.15645424796456245,0.10222777188140407,-0.23538423818744275,-0.00978786171339326,-0.014474892465323087,21701208,-0.09084520239880058,0.29779901715808765
12,21701209,2018-04-09,Grizzlies,Timberwolves,1,-0.19484788839304845,-0.08556752187184948,-0.03110556145192922,-0.23538423818744275,-0.004762736085252559,-0.014474892465323087,21701209,-0.2287762368815592,0.021936948192570402
13,21701210,2018-04-09,Kings,Spurs,1,-0.041179893938267466,-0.009199796309524834,0.10222777188140407,-0.1020509048541094,-0.00978786171339326,-0.004373882364312989,21701210,-0.3667072713643178,0.263316258537398
14,21701212,2018-04-09,Pelicans,Clippers,0,-0.008475907876696871,0.06506530221346601,-0.09777222811859587,0.03128242847922391,-0.00978786171339326,-0.00942438741481804,21701212,-0.1598107196401799,-0.012545810428119255
15,21701202,2018-04-08,Hawks,Celtics,0,-0.06919954021190841,-0.09214716840575284,0.16889443854807076,-0.3020509048541094,-0.00978786171339326,-0.00942438741481804,21701202,-0.3322245127436282,0.47021281026153594
16,21701197,2018-04-08,Pacers,Hornets,0,-0.1349959919717473,-0.2030957552555336,-0.03110556145192922,0.16461576181255722,-0.00978786171339326,-0.00942438741481804,21701197,0.04708583208395804,0.36676453439946693
17,21701198,2018-04-08,Mavericks,76ers,1,0.14898080072246614,0.05936504908573456,0.4355611052147373,-0.23538423818744275,-0.00978786171339326,-0.00942438741481804,21701198,0.150534107946027,0.12538522405463937
18,21701199,2018-04-08,Pistons,Grizzlies,1,-0.08870697467828298,0.08612831785370569,-0.2977722281185959,0.09794909514589056,-0.00978786171339326,-0.00942438741481804,21701199,0.012603073463268385,0.19435074129601868
19,21701200,2018-04-08,Magic,Raptors,1,0.16716474507418405,-0.14304867980954478,0.16889443854807076,-0.23538423818744275,-0.00978786171339326,-0.00942438741481804,21701200,-0.19429347826086954,0.29779901715808765
20,21701201,2018-04-08,Jazz,Lakers,0,-0.13916497290138316,0.2747937763852026,-0.16443889478526258,0.29794909514589063,-0.00978786171339326,-0.004373882364312989,21701201,0.21949962518740632,-0.11599408629018822
21,21701203,2018-04-08,Warriors,Suns,0,-0.1600311092434988,-0.1296862851481068,-0.4311055614519293,-0.1020509048541094,-0.00978786171339326,-0.014474892465323087,21701203,0.3229479010494753,-0.49530443111777445
22,21701191,2018-04-07,Nuggets,Clippers,0,-0.08513884235492812,-0.00499427089790024,-0.03110556145192922,0.09794909514589056,-0.00978786171339326,-0.00942438741481804,21701191,-0.1598107196401799,-0.2539251207729468
23,21701192,2018-04-07,Bucks,Knicks,0,-0.22304632100344926,-0.19168397121730893,-0.23110556145192926,0.03128242847922391,-0.014812987341533966,-0.00942438741481804,21701192,0.3919134182908546,-0.08151132766949856
