,CURRENT_GAME_ID,GAME_DATE_EST,TEAM_NAME_AWAY,TEAM_NAME_HOME,WIN_HOME,NET_RTG_HOME,NET_RTG_AWAY
0,21501228,1.4605056e+18,Jazz,Lakers,1.0,-12.551968189983626,-10.782784751790672
0,21501221,1.4605056e+18,Hawks,Wizards,1.0,0.2067465662845933,-2.3348017430061248
0,21501226,1.4605056e+18,Pelicans,Timberwolves,1.0,-9.200374909528094,-8.003248643798543
0,21501220,1.4605056e+18,Pistons,Cavaliers,0.0,10.681542190347102,8.278412043535397
0,21501224,1.4605056e+18,Kings,Rockets,1.0,7.597301388709482,6.248946243410003
0,21501223,1.4605056e+18,Spurs,Mavericks,0.0,12.428887207223909,11.87905351196325
0,21501217,1.4605056e+18,Heat,Celtics,1.0,3.5423939079120856,6.085589380994861
0,21501222,1.4605056e+18,76ers,Bulls,1.0,4.813220181816831,2.463964026112535
0,21501227,1.4605056e+18,Grizzlies,Warriors,1.0,18.754856725952408,13.772589031492899
0,21501230,1.4605056e+18,Nuggets,Trail Blazers,1.0,-19.03786098573498,-21.51702345360249
0,21501219,1.4605056e+18,Magic,Hornets,1.0,-2.713481679137672,-3.3093399107113584
0,21501225,1.4605056e+18,Pacers,Bucks,0.0,-12.085654514667795,-9.842002589003968
0,21501218,1.4605056e+18,Raptors,Nets,0.0,-20.654038449089853,-17.988552727555344
0,21501229,1.4605056e+18,Clippers,Suns,1.0,-9.985700754206448,-5.343094734829876
0,21501216,1.4604192e+18,Grizzlies,Clippers,1.0,8.713128110287172,8.054817004969422
0,21501215,1.4604192e+18,Thunder,Spurs,1.0,4.265045416004497,7.723148468644268
0,21501212,1.4604192e+18,Knicks,Pacers,1.0,5.2496171949456,1.1837468199518923
0,21501213,1.4604192e+18,Heat,Pistons,0.0,0.8533785777758425,1.8110279468193937
0,21501214,1.4604192e+18,76ers,Raptors,1.0,2.3513968544294386,1.0005157135637432
0,21501207,1.4603328e+18,Rockets,Timberwolves,0.0,-9.043139996334304,-7.3070332264125994
0,21501203,1.4603328e+18,Hawks,Cavaliers,1.0,10.185374510520845,11.285947052609757
0,21501205,1.4603328e+18,Hornets,Celtics,0.0,5.974676695022595,5.3759141299674695
0,21501208,1.4603328e+18,Bulls,Pelicans,0.0,9.250685383789786,11.233302523676286
0,21501209,1.4603328e+18,Lakers,Thunder,1.0,-4.516620858123304,-5.852484274849189
0,21501204,1.4603328e+18,Bucks,Magic,1.0,7.978230423318891,10.574245137516712
0,21501206,1.4603328e+18,Wizards,Nets,0.0,-21.929290030902337,-17.50522217058264
0,21501211,1.4603328e+18,Kings,Suns,0.0,-11.331780140063358,-12.751819661417358
0,21501210,1.4603328e+18,Mavericks,Jazz,0.0,13.119709487801416,9.5308090452924
0,21501196,1.4602464e+18,Mavericks,Clippers,1.0,8.317188117363827,9.405337312911314
0,21501201,1.4602464e+18,Warriors,Spurs,0.0,4.745213241599615,5.1558775583791885
0,21501199,1.4602464e+18,Nets,Pacers,1.0,2.927403946923633,1.7756080546358248
0,21501194,1.4602464e+18,Hornets,Wizards,1.0,-3.3933071430845416,0.41130066284469535
0,21501202,1.4602464e+18,Raptors,Knicks,0.0,-3.344520443470728,-3.068245367818932
0,21501195,1.4602464e+18,Lakers,Rockets,1.0,5.4677126357879615,4.670267920842292
0,21501200,1.4602464e+18,Magic,Heat,1.0,2.278885811221457,2.8957571211058877
0,21501198,1.4602464e+18,Jazz,Nuggets,0.0,-8.703198122581256,-10.399867408999484
0,21501197,1.4602464e+18,Bucks,76ers,0.0,-7.925278224684803,-9.137065587869472
0,21501188,1.46016e+18,Celtics,Hawks,1.0,6.1091726162640185,6.850519049053034
0,21501191,1.46016e+18,Cavaliers,Bulls,1.0,6.293502208128984,5.492301385723138
0,21501193,1.46016e+18,Thunder,Kings,1.0,1.1888631878516378,1.3667125941749845
