GAME_ID_HOME,EXPERT_RANK_HOME,EXPERT_RANK_AWAY
21701213,26,17
21701175,26,1
21701096,26,18
21701078,26,11
21701051,26,22
21701020,26,10
21700978,26,29
21700965,26,12
21700951,26,13
21700874,26,29
21700836,26,27
21700791,26,7
21700777,26,20
21700753,26,16
21700738,26,17
21700725,26,24
21700703,26,25
21700619,26,2
21700604,26,18
21700591,26,13
21700581,26,30
21700538,26,9
21700507,26,19
21700482,26,28
21700482,26,28
21700482,26,28
21700482,26,28
21700482,26,28
21700482,26,28
21700482,26,28
21700482,26,28
21700482,26,28
21700482,26,28
21700482,26,28
21700482,26,28
21700482,26,28
21700482,26,28
21700482,26,28
21700482,26,28
21700442,26,6
21700419,26,21
21700404,26,4
21700387,26,8
21700369,26,2
21700354,26,30
21700340,26,27
21700290,26,24
21700281,26,6
21700271,26,10
21700217,26,21
21700190,26,3
21700150,26,15
21700101,26,23
21700086,26,5
21700018,26,14
21700004,26,28
21701197,17,26
21701143,17,20
21701116,17,2
21701103,17,27
21701072,17,16
21700987,17,25
21700972,17,28
21700957,17,20
21700907,17,30
21700892,17,21
21700867,17,28
21700833,17,10
21700766,17,26
21700714,17,29
21700701,17,15
21700687,17,23
21700676,17,18
21700653,17,7
21700629,17,4
21700618,17,12
21700603,17,19
21700506,17,6
21700481,17,13
21700481,17,13
21700481,17,13
21700481,17,13
21700481,17,13
21700481,17,13
21700481,17,13
21700481,17,13
21700481,17,13
21700481,17,13
21700481,17,13
21700481,17,13
21700481,17,13
21700481,17,13
21700481,17,13
21700481,17,13
21700454,17,10
21700441,17,27
21700429,17,14
21700418,17,18
21700377,17,22
21700367,17,30
21700358,17,1
21700339,17,24
21700277,17,5
21700253,17,7
21700253,17,7
21700253,17,7
21700253,17,7
21700253,17,7
21700253,17,7
21700253,17,7
21700253,17,7
21700253,17,7
21700253,17,7
21700253,17,7
21700253,17,7
21700253,17,7
21700253,17,7
21700253,17,7
21700253,17,7
21700241,17,9
21700228,17,11
21700207,17,2
21700105,17,13
21700088,17,24
21700070,17,3
21700055,17,8
21700017,17,29
21701198,20,19
21701183,20,2
21701157,20,28
21701118,20,27
21701105,20,8
21701088,20,9
21701066,20,16
21701052,20,17
21701030,20,28
21701005,20,26
21700927,20,17
21700884,20,24
21700855,20,18
21700842,20,27
21700828,20,11
21700818,20,15
21700802,20,7
21700770,20,18
21700704,20,30
21700678,20,13
21700639,20,10
21700614,20,6
21700569,20,21
21700555,20,5
21700467,20,10
21700451,20,23
21700421,20,4
21700363,20,22
21700341,20,25
21700330,20,21
21700305,20,7
21700291,20,2
21700278,20,24
21700255,20,14
21700255,20,14
21700255,20,14
21700255,20,14
21700255,20,14
21700255,20,14
21700255,20,14
21700255,20,14
21700255,20,14
21700255,20,14
21700255,20,14
21700255,20,14
21700255,20,14
21700255,20,14
21700255,20,14
21700255,20,14
21700244,20,12
21700231,20,1
21700121,20,26
21700107,20,29
21700057,20,3
21700019,20,6
21701214,29,20
21701172,29,18
21701147,29,24
21701130,29,20
21701021,29,17
21701007,29,4
21700993,29,30
21700943,29,25
21700928,29,1
21700915,29,26
21700897,29,22
21700834,29,21
21700819,29,2
21700799,29,16
21700755,29,17
21700739,29,9
21700726,29,7
21700705,29,10
21700688,29,12
21700675,29,30
21700654,29,15
21700641,29,5
21700621,29,28
21700533,29,14
21700508,29,7
21700484,29,19
21700484,29,19
21700484,29,19
21700484,29,19
21700484,29,19
21700484,29,19
21700484,29,19
21700484,29,19
21700484,29,19
21700484,29,19
21700484,29,19
21700484,29,19
21700484,29,19
21700484,29,19
21700484,29,19
21700484,29,19
21700455,29,26
21700443,29,18
21700413,29,21
21700378,29,24
21700342,29,28
21700313,29,2
21700280,29,10
21700268,29,27
21700256,29,11
21700256,29,11
21700256,29,11
21700256,29,11
21700256,29,11
21700256,29,11
21700256,29,11
21700256,29,11
21700256,29,11
21700256,29,11
21700256,29,11
21700256,29,11
21700256,29,11
21700256,29,11
21700256,29,11
21700256,29,11
21700230,29,6
21700204,29,23
21700146,29,6
21700123,29,3
21700085,29,13
21700072,29,8
21701203,25,1
21701189,25,15
21701167,25,23
21701122,25,11
21701107,25,6
21701063,25,21
21701044,25,1
21701014,25,2
21700933,25,4
21700889,25,14
21700881,25,11
21700832,25,8
21700810,25,5
21700789,25,17
21700773,25,12
21700760,25,19
21700723,25,27
21700636,25,26
21700626,25,3
21700588,25,4
21700551,25,29
21700544,25,20
21700504,25,16
21700490,25,9
21700490,25,9
21700490,25,9
21700490,25,9
21700490,25,9
21700490,25,9
21700490,25,9
21700490,25,9
21700490,25,9
21700490,25,9
21700490,25,9
21700490,25,9
21700490,25,9
21700490,25,9
21700490,25,9
21700490,25,9
21700469,25,16
21700411,25,10
21700383,25,5
21700364,25,7
21700275,25,15
21700264,25,13
21700264,25,13
21700264,25,13
21700264,25,13
21700264,25,13
21700264,25,13
21700264,25,13
21700264,25,13
21700264,25,13
21700264,25,13
21700264,25,13
21700264,25,13
21700264,25,13
21700264,25,13
21700264,25,13
21700264,25,13
21700239,25,30
21700216,25,3
21700196,25,22
21700186,25,9
21700174,25,24
21700162,25,18
21700147,25,28
21700062,25,12
21700048,25,23
21700026,25,22
21700012,25,14
21701216,19,25
21701164,19,14
21701134,19,9
21701093,19,17
21701076,19,12
21700997,19,3
21700989,19,16
21700961,19,8
21700946,19,15
21700919,19,4
21700904,19,26
21700851,19,23
21700830,19,22
21700742,19,18
21700721,19,14
21700721,19,14
21700721,19,14
21700721,19,14
21700706,19,3
21700693,19,7
21700627,19,22
21700601,19,24
21700587,19,27
21700572,19,30
21700562,19,1
21700499,19,10
21700461,19,21
21700448,19,25
21700402,19,5
21700347,19,8
21700327,19,11
21700310,19,28
21700283,19,4
21700249,19,6
21700233,19,13
21700224,19,9
21700203,19,5
21700181,19,2
21700125,19,15
21700081,19,20
21700061,19,16
21700045,19,1
21700024,19,23
21700009,19,29
21701217,12,1
21701179,12,11
21701166,12,22
21701135,12,16
21701121,12,6
21701062,12,29
21701043,12,23
21701027,12,25
21701013,12,21
21700955,12,24
21700934,12,9
21700905,12,3
21700890,12,19
21700882,12,14
21700863,12,25
21700845,12,5
21700824,12,17
21700751,12,1
21700681,12,11
21700672,12,27
21700647,12,26
21700564,12,15
21700534,12,2
21700488,12,4
21700488,12,4
21700488,12,4
21700488,12,4
21700488,12,4
21700488,12,4
21700488,12,4
21700488,12,4
21700488,12,4
21700488,12,4
21700488,12,4
21700488,12,4
21700488,12,4
21700488,12,4
21700488,12,4
21700488,12,4
21700470,12,5
21700366,12,3
21700349,12,7
21700325,12,15
21700301,12,8
21700285,12,13
21700265,12,30
