CURRENT_GAME_ID,GAME_DATE_EST,TEAM_NAME_AWAY,TEAM_NAME_HOME,WIN_HOME,NET_RTG_HOME,NET_RTG_AWAY,WIN_PERCENTAGE_A,WIN_PERCENTAGE_B,DAYS_SINCE_LAST_GAME_A,DAYS_SINCE_LAST_GAME_B
21700026,2017-10-20,Lakers,Suns,0,-0.11330279731973417,-0.12183303865293482,-0.3644388947852626,-0.10205090485410939,-0.009787861713393261,-0.014474892465323089
21700016,2017-10-19,Clippers,Lakers,0,0.026081460393776734,0.2484851719992293,-0.09777222811859587,0.23128242847922387,0.9349357563770591,0.9400705620801315
21700014,2017-10-19,Bulls,Raptors,1,0.13703219408530332,-0.04154654488679186,0.30222777188140415,0.09794909514589056,0.9349357563770591,0.9400705620801315
21700015,2017-10-19,Knicks,Thunder,1,-0.030257141660248198,-0.1460500169112293,0.10222777188140408,-0.1687175715207761,0.9349357563770591,0.9400705620801315
21700003,2017-10-18,Hornets,Pistons,1,-0.044295246135199515,-0.05438168626438801,-0.23110556145192923,-0.03538423818744274,0.9299106307489183,0.9400705620801315
21700006,2017-10-18,76ers,Wizards,1,0.07802871924687482,0.0327531727490709,0.03556110521473743,-0.23538423818744275,0.9299106307489183,0.9350200570296264
21700009,2017-10-18,Hawks,Mavericks,0,-0.16149076484757977,-0.08883705517803032,-0.23110556145192923,-0.10205090485410939,0.9299106307489183,0.9350200570296264
21700011,2017-10-18,Timberwolves,Spurs,1,-0.023418731234104036,-0.10465430582810915,0.10222777188140408,-0.3020509048541094,0.9299106307489183,0.9350200570296264
21700007,2017-10-18,Bucks,Celtics,0,0.031600613416254274,-0.037127345051162164,0.16889443854807074,0.09794909514589056,-0.014812987341533966,0.9350200570296264
21700008,2017-10-18,Pelicans,Grizzlies,1,-0.07517411067061934,-0.08241633964475938,-0.09777222811859587,-0.03538423818744274,0.9299106307489183,0.9350200570296264
21700005,2017-10-18,Heat,Magic,1,-0.24237904941114347,-0.10127438434475146,-0.16443889478526258,0.09794909514589056,0.9299106307489183,0.9350200570296264
21700012,2017-10-18,Trail Blazers,Suns,0,-0.061798676040457884,0.14174597707230902,-0.3644388947852626,0.23128242847922387,0.9349357563770591,0.9350200570296264
21700010,2017-10-18,Nuggets,Jazz,1,-0.09334027500859929,-0.06620320893309413,0.10222777188140408,0.03128242847922391,0.9299106307489183,0.9350200570296264
21700013,2017-10-18,Rockets,Kings,0,-0.135461377787582,-0.02512798969927237,-0.09777222811859587,0.09794909514589056,0.9299106307489183,-0.014474892465323089
21700004,2017-10-18,Nets,Pacers,1,0.20892657498327183,0.08171562826883855,0.03556110521473743,-0.03538423818744274,0.9299106307489183,0.9350200570296264
21700002,2017-10-17,Rockets,Warriors,0,0.1884193292751418,0.13358470610840348,0.43556110521473734,0.09794909514589056,0.9248855051207776,0.9299695519791213
21700001,2017-10-17,Celtics,Cavaliers,1,0.014050174613772698,0.002485425803792506,-0.09777222811859587,0.23128242847922387,0.9248855051207776,0.9299695519791213
21601228,2017-04-12,Kings,Clippers,1,0.312754935122684,0.0595288358077374,0.16889443854807074,-0.03538423818744274,-0.009787861713393261,-0.014474892465323089
21601226,2017-04-12,Hawks,Pacers,1,0.0009649455023356213,0.06420221341650321,-0.03110556145192922,-0.10205090485410939,-0.009787861713393261,-0.014474892465323089
21601220,2017-04-12,76ers,Knicks,1,-0.16954581006203648,-0.11742080195351193,-0.23110556145192923,-0.23538423818744275,-0.0047627360852525585,-0.009424387414818039
21601221,2017-04-12,Wizards,Heat,1,0.13616776540904174,0.052104923489953735,0.03556110521473743,0.03128242847922391,-0.009787861713393261,-0.009424387414818039
21601218,2017-04-12,Raptors,Cavaliers,0,0.035978376134481974,0.10903890527061502,-0.03110556145192922,0.29794909514589063,-0.009787861713393261,-0.004373882364312988
21601224,2017-04-12,Timberwolves,Rockets,1,0.03545337654263678,-0.02958242943918312,0.10222777188140408,-0.3020509048541094,-0.009787861713393261,-0.014474892465323089
21601219,2017-04-12,Bucks,Celtics,1,0.05430732606230714,0.10325096671279185,0.2355611052147374,0.16461576181255722,-0.009787861713393261,-0.009424387414818039
21601222,2017-04-12,Nets,Bulls,1,0.4061350966928934,-0.05311021761415772,0.10222777188140408,0.03128242847922391,-0.009787861713393261,-0.009424387414818039
21601229,2017-04-12,Lakers,Warriors,1,0.23394576931808647,0.1993657753439922,0.43556110521473734,-0.10205090485410939,-0.009787861713393261,-0.014474892465323089
21601230,2017-04-12,Pelicans,Trail Blazers,0,0.13505375080804388,-0.08073424337681222,0.30222777188140415,-0.03538423818744274,-0.009787861713393261,-0.014474892465323089
21601223,2017-04-12,Mavericks,Grizzlies,0,-0.09732711802063816,-0.13494133579297957,-0.03110556145192922,-0.23538423818744275,-0.0047627360852525585,-0.014474892465323089
21601225,2017-04-12,Nuggets,Thunder,0,-0.0024586055920767323,0.19215421936469657,0.16889443854807074,0.03128242847922391,-0.014812987341533966,-0.014474892465323089
21601217,2017-04-12,Pistons,Magic,1,-0.07823341056380649,-0.04129853405708257,-0.23110556145192923,-0.23538423818744275,-0.009787861713393261,-0.009424387414818039
21601227,2017-04-12,Spurs,Jazz,1,-0.10494176478377061,-0.01267342248806681,0.10222777188140408,0.09794909514589056,-0.009787861713393261,-0.009424387414818039
21601215,2017-04-11,Pelicans,Lakers,1,0.025043409671255776,0.16309476196748182,-0.16443889478526258,0.03128242847922391,-0.009787861713393261,-0.004373882364312988
21601213,2017-04-11,Thunder,Timberwolves,0,-0.1607810607718659,-0.18318648266715687,-0.23110556145192923,0.16461576181255722,-0.009787861713393261,-0.009424387414818039
21601212,2017-04-11,Hornets,Hawks,1,0.04225898517748142,-0.0576301824186846,-0.09777222811859587,-0.03538423818744274,-0.009787861713393261,-0.014474892465323089
21601214,2017-04-11,Nuggets,Mavericks,0,-0.09295311360428044,0.10693968724934354,-0.23110556145192923,0.03128242847922391,-0.009787861713393261,-0.009424387414818039
21601216,2017-04-11,Suns,Kings,1,0.044624028824939675,0.10764766140054223,-0.09777222811859587,-0.3687175715207761,-0.009787861713393261,-0.009424387414818039
21601210,2017-04-10,Rockets,Clippers,1,0.08990606656324042,0.1312270953550134,0.16889443854807074,0.16461576181255722,-0.009787861713393261,-0.014474892465323089
21601208,2017-04-10,Wizards,Pistons,0,0.03371587885863493,0.013033617301806345,-0.16443889478526258,-0.03538423818744274,-0.014812987341533966,-0.009424387414818039
21601205,2017-04-10,Cavaliers,Heat,1,0.004135321887084744,-0.11862216618347911,0.03556110521473743,0.03128242847922391,-0.009787861713393261,-0.014474892465323089
21601204,2017-04-10,Nets,Celtics,1,-0.037515095238753154,0.050734917280704124,0.16889443854807074,0.03128242847922391,-0.009787861713393261,-0.009424387414818039
21601206,2017-04-10,Magic,Bulls,1,0.02056439498625507,0.036828696524822166,0.03556110521473743,-0.23538423818744275,-0.009787861713393261,-0.009424387414818039
