Unnamed: 0,Unnamed: 0.1,CURRENT_GAME_ID,WIN_PERCENTAGE_A,WIN_PERCENTAGE_B
0,0,21701213,0.6666666666666666,0.4666666666666667
1,0,21701214,0.26666666666666666,0.9333333333333332
2,0,21701216,0.2,0.06666666666666668
3,0,21701217,0.8,0.4666666666666667
4,0,21701218,0.3333333333333333,0.8666666666666667
5,0,21701215,0.3333333333333333,0.6
6,0,21701207,0.26666666666666666,0.7333333333333333
7,0,21701204,0.6,0.6666666666666666
8,0,21701205,0.4666666666666667,0.3333333333333333
9,0,21701206,0.6,0.6
10,0,21701211,0.6666666666666666,0.6
11,0,21701208,0.6,0.26666666666666666
12,0,21701209,0.4666666666666667,0.26666666666666666
13,0,21701210,0.6,0.4
14,0,21701212,0.4,0.5333333333333333
15,0,21701202,0.6666666666666666,0.2
16,0,21701197,0.4666666666666667,0.6666666666666666
17,0,21701198,0.9333333333333332,0.26666666666666666
18,0,21701199,0.2,0.6
19,0,21701200,0.6666666666666666,0.26666666666666666
20,0,21701201,0.3333333333333333,0.8
21,0,21701203,0.06666666666666668,0.4
22,0,21701191,0.4666666666666667,0.6
23,0,21701192,0.26666666666666666,0.5333333333333333
24,0,21701193,0.3333333333333333,0.4
25,0,21701194,0.8666666666666667,0.5333333333333333
26,0,21701195,0.4666666666666667,0.4666666666666667
27,0,21701196,0.5333333333333333,0.6666666666666666
28,0,21701185,0.6,0.4
29,0,21701182,0.26666666666666666,0.4
30,0,21701183,0.8666666666666667,0.7333333333333333
31,0,21701187,0.6666666666666666,0.6666666666666666
32,0,21701184,0.4,0.13333333333333333
33,0,21701181,0.5333333333333333,0.3333333333333333
34,0,21701186,0.2,0.6
35,0,21701188,0.2,0.3333333333333333
36,0,21701189,0.06666666666666668,0.4666666666666667
37,0,21701190,0.4,0.4
38,0,21701175,0.6666666666666666,0.5333333333333333
39,0,21701177,0.8666666666666667,0.7333333333333333
40,0,21701179,0.8,0.5333333333333333
41,0,21701178,0.5333333333333333,0.3333333333333333
42,0,21701180,0.5333333333333333,0.4666666666666667
43,0,21701176,0.7333333333333333,0.4
44,0,21701170,0.26666666666666666,0.3333333333333333
45,0,21701169,0.5333333333333333,0.8666666666666667
46,0,21701172,0.2,0.6
47,0,21701173,0.4666666666666667,0.2
48,0,21701174,0.3333333333333333,0.6
49,0,21701171,0.6666666666666666,0.6666666666666666
50,0,21701156,0.7333333333333333,0.7333333333333333
51,0,21701157,0.8,0.3333333333333333
52,0,21701159,0.2,0.26666666666666666
53,0,21701158,0.6,0.2
54,0,21701161,0.8666666666666667,0.4
55,0,21701160,0.3333333333333333,0.4
56,0,21701163,0.6,0.5333333333333333
57,0,21701165,0.5333333333333333,0.7333333333333333
58,0,21701164,0.26666666666666666,0.8
59,0,21701162,0.5333333333333333,0.7333333333333333
60,0,21701166,0.8,0.4
61,0,21701167,0.0,0.4
62,0,21701168,0.4666666666666667,0.6
63,0,21701143,0.4,0.8
64,0,21701144,0.3333333333333333,0.4
65,0,21701146,0.5333333333333333,0.7333333333333333
66,0,21701145,0.5333333333333333,0.9333333333333332
67,0,21701150,0.5333333333333333,0.6
68,0,21701148,0.3333333333333333,0.4666666666666667
69,0,21701147,0.2,0.26666666666666666
70,0,21701149,0.6666666666666666,0.26666666666666666
71,0,21701151,0.5333333333333333,0.8
72,0,21701152,0.5333333333333333,0.5333333333333333
73,0,21701153,0.5333333333333333,0.06666666666666668
74,0,21701154,0.8,0.2
75,0,21701155,0.4666666666666667,0.3333333333333333
76,0,21701138,0.4,0.4
77,0,21701139,0.2,0.4666666666666667
78,0,21701140,0.7333333333333333,0.8
79,0,21701141,0.6,0.3333333333333333
80,0,21701142,0.4,0.5333333333333333
81,0,21701129,0.26666666666666666,0.26666666666666666
82,0,21701132,0.9333333333333332,0.06666666666666668
83,0,21701130,0.2,0.8
84,0,21701135,0.7333333333333333,0.2
85,0,21701133,0.6666666666666666,0.4666666666666667
86,0,21701131,0.6,0.6
87,0,21701134,0.3333333333333333,0.4666666666666667
88,0,21701137,0.8,0.6
89,0,21701136,0.5333333333333333,0.4666666666666667
90,0,21701127,0.4,0.6666666666666666
91,0,21701124,0.4,0.4666666666666667
92,0,21701125,0.6,0.26666666666666666
93,0,21701126,0.5333333333333333,0.6666666666666666
94,0,21701128,0.6,0.4
95,0,21701116,0.4666666666666667,0.6
96,0,21701117,0.26666666666666666,0.26666666666666666
97,0,21701118,0.7333333333333333,0.2
98,0,21701119,0.13333333333333333,0.8666666666666667
99,0,21701120,0.4666666666666667,0.2
100,0,21701121,0.8,0.7333333333333333
101,0,21701122,0.06666666666666668,0.5333333333333333
102,0,21701123,0.5333333333333333,0.3333333333333333
103,0,21701109,0.8,0.4666666666666667
104,0,21701108,0.4,0.5333333333333333
105,0,21701112,0.6666666666666666,0.8666666666666667
106,0,21701110,0.6,0.6
107,0,21701111,0.9333333333333332,0.26666666666666666
108,0,21701114,0.6666666666666666,0.6
109,0,21701115,0.5333333333333333,0.4
110,0,21701113,0.4,0.26666666666666666
111,0,21701105,0.6666666666666666,0.5333333333333333
112,0,21701106,0.4666666666666667,0.06666666666666668
113,0,21701107,0.06666666666666668,0.6666666666666666
114,0,21701103,0.4666666666666667,0.26666666666666666
115,0,21701104,0.3333333333333333,0.6
116,0,21701094,0.26666666666666666,0.6
117,0,21701095,0.4,0.5333333333333333
118,0,21701096,0.6,0.6
119,0,21701097,0.8666666666666667,0.5333333333333333
120,0,21701098,0.4666666666666667,0.2
121,0,21701099,0.4,0.6
