CURRENT_GAME_ID,GAME_DATE_EST,TEAM_NAME_AWAY,TEAM_NAME_HOME,WIN_HOME,NET_RTG_HOME,NET_RTG_AWAY,WIN_PERCENTAGE_A,WIN_PERCENTAGE_B
21701213,2018-04-10,Hornets,Pacers,0,-5.499857683226331,-8.840032334222279,0.6666666666666666,0.4666666666666667
21701214,2018-04-10,76ers,Hawks,0,2.0847405828539043,9.460211309828686,0.26666666666666666,0.9333333333333332
21701216,2018-04-10,Suns,Mavericks,0,3.412032504994812,-1.0098875015910096,0.2,0.06666666666666668
21701217,2018-04-10,Warriors,Jazz,1,23.72352953445796,18.473746894158765,0.8,0.4666666666666667
21701218,2018-04-10,Rockets,Lakers,0,3.2467993235528496,-11.153174324367695,0.3333333333333333,0.8666666666666667
21701215,2018-04-10,Celtics,Wizards,1,-6.324372674417994,-1.0769599877316909,0.3333333333333333,0.6
21701207,2018-04-09,Cavaliers,Knicks,0,-14.19810074267768,-2.7649603155458635,0.26666666666666666,0.7333333333333333
21701204,2018-04-09,Raptors,Pistons,0,8.482047033498759,4.651650829398997,0.6,0.6666666666666666
21701205,2018-04-09,Bulls,Nets,1,0.8150311713912544,-12.748568933995836,0.4666666666666667,0.3333333333333333
21701206,2018-04-09,Thunder,Heat,0,5.368587680845977,1.8552368378995323,0.6,0.6
21701211,2018-04-09,Trail Blazers,Nuggets,1,14.92767580327967,6.848358132975867,0.6666666666666666,0.6
21701208,2018-04-09,Magic,Bucks,1,4.964738178760683,10.716639221592123,0.6,0.26666666666666666
21701209,2018-04-09,Grizzlies,Timberwolves,1,-14.987339873960767,-5.7628572570686885,0.4666666666666667,0.26666666666666666
21701210,2018-04-09,Kings,Spurs,1,-3.1379804507505606,-0.5629049331999951,0.6,0.4
21701212,2018-04-09,Pelicans,Clippers,0,-0.6161717501805768,4.493877481143372,0.4,0.5333333333333333
21701202,2018-04-08,Hawks,Celtics,0,-5.29857908929975,-6.210871755762684,0.6666666666666666,0.2
21701197,2018-04-08,Pacers,Hornets,0,-10.372152206723786,-13.765468383740393,0.4666666666666667,0.6666666666666666
21701198,2018-04-08,Mavericks,76ers,1,11.525335922948994,4.105741730341202,0.9333333333333332,0.26666666666666666
21701199,2018-04-08,Pistons,Grizzlies,1,-6.802799946980107,5.928078595811385,0.2,0.6
21701200,2018-04-08,Magic,Raptors,1,12.927502282441395,-9.676804917495561,0.6666666666666666,0.26666666666666666
21701201,2018-04-08,Jazz,Lakers,0,-10.693622878863657,18.774492212306505,0.3333333333333333,0.8
21701203,2018-04-08,Warriors,Suns,0,-12.302613418296993,-8.766946536084312,0.06666666666666668,0.4
21701191,2018-04-07,Nuggets,Clippers,0,-6.527660790521296,-0.2765466388257707,0.4666666666666667,0.6
21701192,2018-04-07,Bucks,Knicks,0,-17.16172475063809,-12.988428966995876,0.26666666666666666,0.5333333333333333
21701193,2018-04-07,Nets,Bulls,0,-5.731067654928367,4.2831063008532695,0.3333333333333333,0.4
21701194,2018-04-07,Thunder,Rockets,0,7.765152364854096,1.0548340071349998,0.8666666666666667,0.5333333333333333
21701195,2018-04-07,Pelicans,Warriors,0,8.027976054505572,12.554683122530145,0.4666666666666667,0.4666666666666667
21701196,2018-04-07,Trail Blazers,Spurs,1,10.389464614381462,-2.9354747381523723,0.5333333333333333,0.6666666666666666
21701185,2018-04-06,Bulls,Celtics,1,-5.453175093723786,-5.676127519640483,0.6,0.4
21701182,2018-04-06,Hornets,Magic,0,-4.733858669811866,-4.259104913739847,0.26666666666666666,0.4
21701183,2018-04-06,Cavaliers,76ers,1,16.35585435567259,13.447222043785878,0.8666666666666667,0.7333333333333333
21701187,2018-04-06,Pacers,Raptors,1,2.119546599793509,-0.5056395385150481,0.6666666666666666,0.6666666666666666
21701184,2018-04-06,Hawks,Wizards,0,-13.238454341927516,-15.311779225323072,0.4,0.13333333333333333
21701181,2018-04-06,Mavericks,Pistons,1,4.593973778163203,0.3431383256310028,0.5333333333333333,0.3333333333333333
21701186,2018-04-06,Heat,Knicks,1,1.4102010671888363,5.622459903272818,0.2,0.6
21701188,2018-04-06,Kings,Grizzlies,0,-6.6446840849807245,-3.6792164159682974,0.2,0.3333333333333333
21701189,2018-04-06,Pelicans,Suns,0,-5.676283213239714,-8.565451273858137,0.06666666666666668,0.4666666666666667
21701190,2018-04-06,Timberwolves,Lakers,0,-0.5679836339521103,-14.524607198501712,0.4,0.4
21701175,2018-04-05,Warriors,Pacers,1,5.850020749178356,11.928922623549028,0.6666666666666666,0.5333333333333333
21701177,2018-04-05,Trail Blazers,Rockets,1,13.991910475571224,5.545971240163219,0.8666666666666667,0.7333333333333333
21701179,2018-04-05,Clippers,Jazz,1,0.8947538656681502,6.404884867597332,0.8,0.5333333333333333
21701178,2018-04-05,Nets,Bucks,0,-5.546650313003682,-6.023026535810393,0.5333333333333333,0.3333333333333333
21701180,2018-04-05,Timberwolves,Nuggets,1,-10.988682908337516,-11.01669623132057,0.5333333333333333,0.4666666666666667
21701176,2018-04-05,Wizards,Cavaliers,1,5.9739741147905985,7.1013670101045525,0.7333333333333333,0.4
21701170,2018-04-04,Mavericks,Magic,1,13.385959394595487,5.953979437279508,0.26666666666666666,0.3333333333333333
21701169,2018-04-04,76ers,Pistons,0,14.931715196163495,23.89193756487164,0.5333333333333333,0.8666666666666667
21701172,2018-04-04,Heat,Hawks,0,-8.966057868074707,3.8942109215925313,0.2,0.6
21701173,2018-04-04,Grizzlies,Pelicans,1,-5.755518689779388,-12.286429836378415,0.4666666666666667,0.2
