,CURRENT_GAME_ID,DAYS_SINCE_LAST_GAME_A,DAYS_SINCE_LAST_GAME_B
224,21700998,3.0,2.0
225,21700997,1.0,2.0
226,21700999,3.0,3.0
227,21701000,2.0,2.0
228,21700987,2.0,2.0
229,21700989,4.0,1.0
230,21700990,2.0,2.0
231,21700991,1.0,1.0
232,21700988,2.0,1.0
233,21700978,2.0,3.0
234,21700981,2.0,3.0
235,21700977,2.0,2.0
236,21700979,2.0,2.0
237,21700980,2.0,2.0
238,21700982,2.0,3.0
239,21700983,2.0,2.0
240,21700984,3.0,1.0
241,21700986,3.0,2.0
242,21700985,2.0,2.0
243,21700972,2.0,2.0
244,21700973,2.0,2.0
245,21700975,2.0,3.0
246,21700974,6.0,3.0
247,21700976,2.0,3.0
248,21700965,2.0,2.0
249,21700967,2.0,2.0
250,21700968,2.0,1.0
251,21700966,2.0,1.0
252,21700970,1.0,2.0
253,21700971,2.0,2.0
254,21700969,3.0,1.0
255,21700958,2.0,2.0
256,21700957,2.0,2.0
257,21700959,2.0,1.0
258,21700960,3.0,3.0
259,21700961,2.0,3.0
260,21700962,1.0,2.0
261,21700963,4.0,2.0
262,21700964,2.0,2.0
263,21700951,1.0,1.0
264,21700953,3.0,2.0
265,21700950,2.0,2.0
266,21700952,2.0,1.0
267,21700955,2.0,2.0
268,21700954,2.0,2.0
269,21700956,2.0,2.0
270,21700943,2.0,2.0
271,21700944,2.0,2.0
272,21700945,2.0,2.0
273,21700946,2.0,4.0
274,21700948,2.0,3.0
275,21700949,1.0,2.0
276,21700947,2.0,2.0
277,21700936,1.0,1.0
278,21700937,2.0,1.0
279,21700938,2.0,1.0
280,21700939,3.0,3.0
281,21700940,3.0,2.0
282,21700941,2.0,1.0
283,21700942,2.0,1.0
284,21700926,2.0,2.0
285,21700927,1.0,2.0
286,21700928,2.0,2.0
287,21700932,2.0,2.0
288,21700931,2.0,3.0
289,21700930,3.0,2.0
290,21700929,2.0,2.0
291,21700933,2.0,2.0
292,21700935,2.0,4.0
293,21700934,4.0,1.0
294,21700924,2.0,2.0
295,21700922,2.0,3.0
296,21700923,2.0,2.0
297,21700925,2.0,3.0
298,21700916,2.0,1.0
299,21700914,2.0,2.0
300,21700913,2.0,1.0
301,21700915,2.0,2.0
302,21700917,1.0,2.0
303,21700918,2.0,2.0
304,21700920,3.0,2.0
305,21700919,2.0,2.0
306,21700921,1.0,2.0
307,21700907,2.0,1.0
308,21700908,2.0,1.0
309,21700909,3.0,2.0
310,21700910,2.0,2.0
311,21700912,2.0,4.0
312,21700911,3.0,1.0
313,21700898,2.0,2.0
314,21700901,3.0,1.0
315,21700900,2.0,2.0
316,21700899,4.0,2.0
317,21700897,3.0,2.0
318,21700902,1.0,2.0
319,21700903,2.0,2.0
320,21700904,2.0,3.0
321,21700905,2.0,1.0
322,21700906,2.0,2.0
323,21700892,2.0,2.0
324,21700893,2.0,2.0
325,21700894,2.0,2.0
326,21700896,2.0,2.0
327,21700895,2.0,1.0
328,21700884,2.0,2.0
329,21700886,2.0,1.0
330,21700885,1.0,1.0
331,21700890,1.0,1.0
332,21700887,2.0,2.0
333,21700889,1.0,1.0
334,21700888,1.0,2.0
335,21700891,2.0,1.0
336,21700874,9.0,9.0
337,21700876,9.0,8.0
338,21700875,1.0,1.0
339,21700873,9.0,9.0
340,21700877,9.0,8.0
341,21700879,9.0,9.0
342,21700883,8.0,10.0
343,21700880,8.0,10.0
344,21700878,9.0,1.0
345,21700882,9.0,9.0
346,21700881,9.0,1.0
347,21700871,8.0,8.0
348,21700867,8.0,8.0
349,21700868,8.0,8.0
350,21700869,9.0,8.0
351,21700870,8.0,8.0
352,21700872,8.0,8.0
353,31700001,,
434,21700865,2.0,2.0
435,21700866,2.0,1.0
436,21700858,3.0,2.0
437,21700854,2.0,3.0
438,21700859,2.0,1.0
439,21700856,2.0,3.0
440,21700855,2.0,1.0
441,21700860,1.0,1.0
442,21700862,2.0,4.0
443,21700853,2.0,1.0
444,21700857,2.0,4.0
445,21700861,3.0,1.0
446,21700863,2.0,2.0
447,21700864,3.0,2.0
448,21700847,2.0,4.0
449,21700848,3.0,2.0
450,21700849,2.0,2.0
451,21700850,2.0,2.0
452,21700851,2.0,2.0
453,21700852,3.0,1.0
454,21700844,2.0,2.0
455,21700842,2.0,1.0
456,21700843,2.0,2.0
457,21700841,1.0,2.0
458,21700845,1.0,2.0
459,21700846,2.0,2.0
460,21700835,2.0,2.0
461,21700833,2.0,3.0
462,21700834,2.0,2.0
463,21700836,2.0,3.0
464,21700837,2.0,1.0
465,21700839,3.0,4.0
466,21700838,2.0,2.0
467,21700840,2.0,2.0
468,21700826,3.0,1.0
469,21700828,1.0,1.0
470,21700827,2.0,1.0
471,21700829,1.0,2.0
472,21700831,2.0,3.0
473,21700830,2.0,2.0
474,21700832,3.0,1.0
475,21700820,1.0,4.0
476,21700817,2.0,4.0
477,21700818,3.0,4.0
478,21700823,2.0,4.0
479,21700819,1.0,2.0
480,21700821,2.0,3.0
481,21700824,2.0,1.0
482,21700822,4.0,2.0
483,21700825,4.0,1.0
484,21700811,2.0,2.0
485,21700812,2.0,2.0
486,21700813,2.0,2.0
487,21700814,3.0,3.0
488,21700815,2.0,3.0
489,21700816,2.0,2.0
490,21700805,2.0,1.0
491,21700806,2.0,1.0
492,21700808,1.0,2.0
493,21700807,1.0,4.0
494,21700810,1.0,4.0
495,21700797,1.0,3.0
496,21700798,2.0,2.0
497,21700800,2.0,3.0
498,21700801,2.0,2.0
499,21700799,2.0,2.0
500,21700802,3.0,1.0
501,21700803,3.0,2.0
502,21700804,2.0,2.0
503,21700791,2.0,2.0
504,21700790,2.0,1.0
505,21700793,2.0,2.0
506,21700792,2.0,2.0
507,21700794,2.0,1.0
508,21700795,2.0,2.0
509,21700796,2.0,2.0
510,21700784,2.0,2.0
511,21700786,2.0,2.0
512,21700787,2.0,3.0
513,21700785,2.0,2.0
514,21700788,2.0,2.0
515,21700789,2.0,2.0
516,21700775,4.0,3.0
517,21700778,3.0,2.0
518,21700777,1.0,1.0
519,21700776,2.0,1.0
520,21700779,3.0,2.0
521,21700781,2.0,1.0
522,21700780,2.0,1.0
523,21700783,1.0,3.0
524,21700782,2.0,1.0
525,21700774,3.0,3.0
526,21700767,2.0,2.0
527,21700766,2.0,2.0
528,21700769,1.0,2.0
532,21700768,2.0,2.0
533,21700770,2.0,2.0
534,21700771,1.0,2.0
535,21700772,1.0,3.0
536,21700773,2.0,3.0
537,21700761,2.0,1.0
538,21700762,2.0,2.0
539,21700763,2.0,3.0
540,21700764,2.0,2.0
541,21700765,2.0,2.0
542,21700758,2.0,1.0
543,21700753,2.0,2.0
544,21700754,1.0,3.0
545,21700756,1.0,2.0
546,21700755,2.0,2.0
547,21700757,1.0,2.0
548,21700760,2.0,2.0
549,21700759,1.0,3.0
553,21700744,3.0,2.0
554,21700746,2.0,1.0
555,21700748,2.0,3.0
556,21700749,2.0,2.0
557,21700745,4.0,3.0
558,21700751,4.0,3.0
559,21700750,2.0,1.0
560,21700747,2.0,4.0
561,21700752,2.0,4.0
562,21700738,2.0,2.0
563,21700739,2.0,2.0
564,21700741,1.0,1.0
565,21700740,3.0,1.0
566,21700743,2.0,2.0
567,21700742,2.0,2.0
568,21700736,1.0,2.0
569,21700732,2.0,2.0
570,21700731,2.0,2.0
571,21700733,2.0,2.0
572,21700735,2.0,2.0
573,21700734,2.0,1.0
574,21700737,2.0,3.0
575,21700725,1.0,4.0
576,21700724,3.0,2.0
577,21700726,1.0,2.0
578,21700727,2.0,1.0
579,21700730,2.0,1.0
580,21700728,2.0,3.0
581,21700729,2.0,1.0
582,21700714,2.0,2.0
583,21700716,2.0,2.0
584,21700717,2.0,3.0
585,21700715,3.0,2.0
586,21700720,2.0,2.0
587,21700719,4.0,3.0
588,21700718,2.0,2.0
589,21700722,2.0,2.0
590,21700721,2.0,2.0
594,21700723,2.0,1.0
595,21700710,3.0,2.0
596,21700712,3.0,2.0
597,21700713,2.0,1.0
598,21700711,2.0,3.0
599,21700703,3.0,2.0
600,21700701,2.0,2.0
601,21700704,2.0,2.0
602,21700702,3.0,2.0
603,21700705,2.0,4.0
604,21700707,2.0,1.0
605,21700706,2.0,2.0
606,21700708,2.0,2.0
610,21700709,2.0,1.0
611,21700696,2.0,1.0
612,21700697,3.0,2.0
613,21700698,2.0,3.0
614,21700700,2.0,2.0
615,21700699,3.0,2.0
616,21700687,2.0,3.0
617,21700692,2.0,2.0
618,21700689,2.0,2.0
619,21700688,2.0,2.0
620,21700691,2.0,3.0
621,21700694,3.0,2.0
622,21700690,2.0,2.0
623,21700693,2.0,3.0
624,21700695,2.0,2.0
625,21700683,3.0,3.0
626,21700684,2.0,2.0
627,21700685,2.0,2.0
628,21700686,2.0,2.0
629,21700674,2.0,3.0
630,21700675,3.0,3.0
631,21700676,3.0,1.0
632,21700677,3.0,1.0
633,21700678,2.0,3.0
634,21700681,1.0,3.0
635,21700679,2.0,3.0
636,21700680,2.0,1.0
637,21700682,2.0,4.0
638,21700667,2.0,2.0
639,21700668,2.0,2.0
640,21700670,2.0,2.0
641,21700671,2.0,3.0
642,21700669,2.0,2.0
643,21700672,2.0,2.0
644,21700673,2.0,1.0
645,21700663,2.0,3.0
646,21700664,3.0,2.0
647,21700665,3.0,2.0
648,21700666,2.0,3.0
649,21700653,2.0,2.0
650,21700655,2.0,2.0
651,21700656,2.0,2.0
652,21700654,2.0,1.0
653,21700657,2.0,2.0
654,21700658,2.0,2.0
655,21700660,2.0,2.0
656,21700659,2.0,2.0
657,21700661,2.0,2.0
658,21700662,2.0,1.0
659,21700650,5.0,2.0
660,21700649,4.0,2.0
661,21700651,3.0,3.0
662,21700652,2.0,2.0
663,21700638,2.0,2.0
664,21700639,4.0,2.0
665,21700642,2.0,1.0
666,21700640,2.0,1.0
667,21700641,3.0,2.0
668,21700644,2.0,1.0
669,21700645,3.0,2.0
670,21700643,2.0,2.0
671,21700646,3.0,2.0
672,21700647,3.0,1.0
673,21700648,2.0,3.0
674,21700634,4.0,2.0
675,21700635,2.0,2.0
676,21700636,2.0,2.0
677,21700637,2.0,2.0
678,21700627,3.0,2.0
679,21700628,2.0,4.0
680,21700629,1.0,3.0
681,21700631,2.0,1.0
682,21700630,1.0,1.0
683,21700632,3.0,3.0
684,21700633,2.0,1.0
685,21700622,2.0,2.0
686,21700618,2.0,2.0
687,21700619,2.0,1.0
688,21700620,2.0,2.0
689,21700621,2.0,2.0
690,21700624,2.0,2.0
691,21700625,2.0,2.0
692,21700626,5.0,2.0
693,21700623,2.0,2.0
694,21700614,6.0,5.0
695,21700615,2.0,3.0
696,21700616,2.0,1.0
697,21700617,2.0,3.0
698,21700603,5.0,1.0
699,21700605,4.0,3.0
700,21700606,2.0,2.0
701,21700604,2.0,1.0
702,21700607,3.0,2.0
703,21700608,2.0,1.0
704,21700610,2.0,1.0
705,21700609,5.0,2.0
706,21700611,2.0,1.0
707,21700612,2.0,2.0
708,21700613,2.0,2.0
709,21700599,1.0,2.0
710,21700600,2.0,2.0
711,21700601,2.0,3.0
712,21700602,2.0,1.0
713,21700591,2.0,2.0
714,21700592,2.0,3.0
715,21700595,2.0,2.0
716,21700593,2.0,2.0
717,21700594,2.0,2.0
718,21700596,2.0,1.0
719,21700597,2.0,2.0
720,21700598,2.0,1.0
721,21700586,2.0,2.0
722,21700587,2.0,2.0
723,21700588,2.0,3.0
724,21700589,2.0,2.0
725,21700590,2.0,2.0
726,21700578,2.0,2.0
727,21700579,3.0,1.0
728,21700581,3.0,1.0
729,21700582,3.0,3.0
730,21700580,1.0,2.0
731,21700583,1.0,1.0
732,21700584,1.0,3.0
733,21700585,4.0,1.0
734,21700570,2.0,2.0
735,21700569,2.0,2.0
736,21700571,2.0,2.0
737,21700568,2.0,2.0
738,21700574,2.0,2.0
739,21700573,2.0,2.0
740,21700572,2.0,2.0
741,21700575,3.0,2.0
742,21700576,3.0,3.0
743,21700577,2.0,3.0
744,21700566,1.0,1.0
745,21700567,2.0,1.0
746,21700559,3.0,1.0
747,21700555,3.0,1.0
748,21700557,2.0,2.0
749,21700556,3.0,1.0
750,21700554,2.0,3.0
751,21700558,4.0,4.0
752,21700560,2.0,2.0
753,21700561,2.0,3.0
754,21700563,4.0,1.0
755,21700564,4.0,4.0
756,21700562,3.0,4.0
757,21700565,2.0,3.0
758,21700550,3.0,3.0
759,21700551,2.0,3.0
760,21700552,2.0,2.0
761,21700553,2.0,2.0
762,21700549,3.0,1.0
763,21700545,1.0,2.0
764,21700546,3.0,3.0
765,21700547,1.0,2.0
766,21700548,1.0,1.0
767,21700539,3.0,2.0
768,21700537,2.0,2.0
769,21700538,2.0,3.0
770,21700540,2.0,2.0
771,21700542,2.0,2.0
772,21700541,2.0,2.0
773,21700543,2.0,1.0
774,21700544,2.0,1.0
775,21700531,2.0,1.0
776,21700532,1.0,2.0
777,21700530,2.0,2.0
778,21700533,1.0,2.0
779,21700534,3.0,3.0
780,21700535,1.0,3.0
781,21700536,3.0,2.0
782,21700521,2.0,1.0
783,21700522,2.0,2.0
784,21700526,2.0,1.0
785,21700525,2.0,2.0
786,21700524,2.0,2.0
787,21700523,3.0,2.0
788,21700529,2.0,3.0
789,21700528,2.0,2.0
790,21700527,2.0,3.0
791,21700517,1.0,3.0
792,21700518,2.0,1.0
793,21700516,2.0,2.0
794,21700519,2.0,1.0
795,21700520,5.0,3.0
796,21700507,1.0,1.0
797,21700506,4.0,2.0
798,21700508,4.0,2.0
799,21700511,4.0,1.0
800,21700509,1.0,2.0
801,21700512,2.0,1.0
802,21700510,2.0,1.0
803,21700514,2.0,1.0
804,21700513,1.0,2.0
805,21700515,2.0,1.0
806,21700501,3.0,3.0
807,21700499,3.0,3.0
808,21700500,3.0,3.0
809,21700502,3.0,3.0
810,21700503,3.0,3.0
811,21700504,3.0,3.0
812,21700505,3.0,3.0
813,21700498,4.0,3.0
814,21700493,3.0,2.0
815,21700494,2.0,4.0
816,21700496,2.0,3.0
817,21700497,2.0,2.0
818,21700495,2.0,2.0
819,21700480,2.0,4.0
835,21700485,2.0,2.0
851,21700482,3.0,1.0
867,21700481,1.0,4.0
